index,title,authors,type
380,On the Cross-lingual Transferability of Monolingual Representations,"Mikel Artetxe, Sebastian Ruder and Dani Yogatama",long
381,On the Encoder-Decoder Incompatibility in Variational Text Modeling and Beyond,"Chen Wu, Prince Zizhuang Wang and William Yang Wang",long
382,On The Evaluation of Machine Translation SystemsTrained With Back-Translation,"Sergey Edunov, Myle Ott, Marc’Aurelio Ranzato and Michael Auli",long
383,On the Inference Calibration of Neural Machine Translation,"Shuo Wang, Zhaopeng Tu, Shuming Shi and Yang Liu",long
384,On the Limitations of Cross-lingual Encoders as Exposed by Reference-Free Machine Translation Evaluation,"Wei Zhao, Goran Glavaš, Maxime Peyrard, Yang Gao, Robert West and Steffen Eger",long
385,On the Robustness of Language Encoders against Grammatical Errors,"Fan Yin, Quanyu Long, Tao Meng and Kai-Wei Chang",long
386,One Size Does Not Fit All: Generating and Evaluating Variable Number of Keyphrases,"Xingdi Yuan, Tong Wang, Rui Meng, Khushboo Thaker, Peter Brusilovsky, Daqing He and Adam Trischler",long
387,Optimizing the Factual Correctness of a Summary: A Study of Summarizing Radiology Reports,"Yuhao Zhang, Derek Merck, Emily Tsai, Christopher D. Manning and Curtis Langlotz",long
388,Orthogonal Relation Transforms with Graph Context Modeling for Knowledge Graph Embedding,"Yun Tang, Jing Huang, Guangtao Wang, Xiaodong He and Bowen Zhou",long
389,Out of the Echo Chamber: Detecting Countering Debate Speeches,"Matan Orbach, Yonatan Bilu, Assaf Toledo, Dan Lahav, Michal Jacovi, Ranit Aharonov and Noam Slonim",long
390,ParaCrawl: Web-Scale Acquisition of Parallel Corpora,"Marta Bañón, Pinzhen Chen, Barry Haddow, Kenneth Heafield, Hieu Hoang, Miquel Esplà-Gomis, Mikel L. Forcada, Amir Kamran, Faheem Kirefu, Philipp Koehn, Sergio Ortiz Rojas, Leopoldo Pla Sempere, Gema Ramírez-Sánchez, Elsa Sarrías, Marek Strelec, Brian Thompson, William Waites, Dion Wiggins and Jaume Zaragoza",long
391,Parallel Corpus Filtering via Pre-trained Language Models,"Boliang Zhang, Ajay Nagesh and Kevin Knight",long
392,Paraphrase Augmented Task-Oriented Dialog Generation,"Silin Gao, Yichi Zhang, Zhijian Ou and Zhou Yu",long
393,Paraphrase Generation by Learning How to Edit from Samples,"Amirhossein Kazemnejad, Mohammadreza Salehi and Mahdieh Soleymani Baghshah",long
394,Parsing into Variable-in-situ Logico-Semantic Graphs,Yufei Chen and Weiwei Sun,long
395,Perturbed Masking: Parameter-free Probing for Analyzing and Interpreting BERT,"Zhiyong Wu, Yun Chen, Ben Kao and Qun Liu",long
396,PeTra: A Sparsely Supervised Memory Model for People Tracking,"Shubham Toshniwal, Allyson Ettinger, Kevin Gimpel and Karen Livescu",long
397,Phone Features Improve Speech Translation,Elizabeth Salesky and Alan W Black,long
398,Phonetic and Visual Priors for Decipherment of Informal Romanization,"Maria Ryskina, Matthew R. Gormley and Taylor Berg-Kirkpatrick",long
399,PLATO: Pre-trained Dialogue Generation Model with Discrete Latent Variable,"Siqi Bao, Huang He, Fan Wang, Hua Wu and Haifeng Wang",long
400,Politeness Transfer: A Tag and Generate Approach,"Aman Madaan, Amrith Setlur, Tanmay Parekh, Barnabas Poczos, Graham Neubig, Yiming Yang, Ruslan Salakhutdinov, Alan W Black and Shrimai Prabhumoye",long
401,Posterior Control of Blackbox Generation,Xiang Lisa Li and Alexander Rush,long
402,Predicting Declension Class from Form and Meaning,"Adina Williams, Tiago Pimentel, Arya D. McCarthy, Hagen Blix, Eleanor Chodroff and Ryan Cotterell",long
403,Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,"Alex Rinaldi, Jean Fox Tree and Snigdha Chaturvedi",long
404,Predicting Performance for Natural Language Processing Tasks,"Mengzhou Xia, Antonios Anastasopoulos, Ruochen Xu, Yiming Yang and Graham Neubig",long
405,Predicting the Focus of Negation: Model and Error Analysis,"Md Mosharaf Hossain, Kathleen Hamilton, Alexis Palmer and Eduardo Blanco",long
406,Predicting the Growth of Morphological Families from Social and Linguistic Factors,"Valentin Hofmann, Janet Pierrehumbert and Hinrich Schütze",long
407,Predicting the Topical Stance and Political Leaning of Media using Tweets,"Peter Stefanov, Kareem Darwish, Atanas Atanasov and Preslav Nakov",long
408,Predictive Biases in Natural Language Processing Models: A Conceptual Framework and Overview,"Deven Santosh Shah, H. Andrew Schwartz and Dirk Hovy",long
409,Premise Selection in Natural Language Mathematical Texts,Deborah Ferreira and André Freitas,long
410,Pre-train and Plug-in: Flexible Conditional Text Generation with Variational Auto-Encoders,"Yu Duan, Canwen Xu, Jiaxin Pei, Jialong Han and Chenliang Li",long
411,Pre-training Is (Almost) All You Need: An Application to Commonsense Reasoning,"Alexandre Tamborrino, Nicola Pellicanò, Baptiste Pannier, Pascal Voitot and Louise Naudin",long
412,Pretraining with Contrastive Sentence Objectives Improves Discourse Performance of Language Models,"Dan Iter, Kelvin Guu, Larry Lansing and Dan Jurafsky",long
413,Probabilistic Assumptions Matter: Improved Models for Distantly-Supervised Document-Level Question Answering,"Hao Cheng, Ming-Wei Chang, Kenton Lee and Kristina Toutanova",long
414,Probabilistically Masked Language Model Capable of Autoregressive Generation in Arbitrary Word Order,"Yi Liao, Xin Jiang and Qun Liu",long
415,Probing for referential information in language models,"Ionut-Teodor Sorodoc, Kristina Gulordava and Gemma Boleda",long
416,Probing Linguistic Features of Sentence-Level Representations in Relation Extraction,"Christoph Alt, Aleksandra Gabryszak and Leonhard Hennig",long
417,Probing Linguistic Systematicity,"Emily Goodwin, Koustuv Sinha and Timothy J. O’Donnell",long
418,Programming in Natural Language with fuSE: Synthesizing Methods from Spoken Utterances Using Deep Natural Language Understanding,"Sebastian Weigelt, Vanessa Steurer, Tobias Hey and Walter F. Tichy",long
419,PuzzLing Machines: A Challenge on Learning From Small Data,"Gözde Gül Şahin, Yova Kementchedjhieva, Phillip Rust and Iryna Gurevych",long
420,Pyramid: A Layered Model for Nested Named Entity Recognition,"Jue Wang, Lidan Shou, Ke Chen and Gang Chen",long
421,QuASE: Question-Answer Driven Sentence Encoding,"Hangfeng He, Qiang Ning and Dan Roth",long
422,"R^3: Reverse, Retrieve, and Rank for Sarcasm Generation with Commonsense Knowledge","Tuhin Chakrabarty, Debanjan Ghosh, Smaranda Muresan and Nanyun Peng",long
423,Rationalizing Medical Relation Prediction from Corpus-level Statistics,"Zhen Wang, Jennifer Lee, Simon Lin and Huan Sun",long
424,Rationalizing Text Matching: Learning Sparse Alignments via Optimal Transport,"Kyle Swanson, Lili Yu and Tao Lei",long
425,RAT-SQL: Relation-Aware Schema Encoding and Linking for Text-to-SQL Parsers,"Bailin Wang, Richard Shin, Xiaodong Liu, Oleksandr Polozov and Matthew Richardson",long
426,Reasoning Over Semantic-Level Graph for Fact Checking,"Wanjun Zhong, Jingjing Xu, Duyu Tang, Zenan Xu, Nan Duan, Ming Zhou, Jiahai Wang and Jian Yin",long
427,Reasoning with Latent Structure Refinement for Document-Level Relation Extraction,"Guoshun Nan, Zhijiang Guo, Ivan Sekulic and Wei Lu",long
428,Reasoning with Multimodal Sarcastic Tweets via Modeling Cross-Modality Contrast and Semantic Association,"Nan Xu, Zhixiong Zeng and Wenji Mao",long
429,(Re)construing Meaning in NLP,"Sean Trott, Tiago Timponi Torrent, Nancy Chang and Nathan Schneider",long
430,Recurrent Chunking Mechanisms for Long-Text Machine Reading Comprehension,"Hongyu Gong, Yelong Shen, Dian Yu, Jianshu Chen and Dong Yu",long
431,Recurrent Neural Network Language Models Always Learn English-Like Relative Clause Attachment,Forrest Davis and Marten van Schijndel,long
432,Reducing Gender Bias in Neural Machine Translation as a Domain Adaptation Problem,Danielle Saunders and Bill Byrne,long
433,Refer360° : A Referring Expression Recognition Dataset in 360° Images,"Volkan Cirik, Taylor Berg-Kirkpatrick and Louis-Philippe Morency",long
434,ReInceptionE: Relation-Aware Inception Network with Joint Local-Global Structural Information for Knowledge Graph Embedding,"Zhiwen Xie, Guangyou Zhou, Jin Liu and Jimmy Xiangji Huang",long
435,Relabel the Noise: Joint Extraction of Entities and Relations via Cooperative Multiagents,"Daoyuan Chen, Yaliang Li, Kai Lei and Ying Shen",long
436,Relational Graph Attention Network for Aspect-based Sentiment Analysis,"Kai Wang, Weizhou Shen, Yunyi Yang, Xiaojun Quan and Rui Wang",long
437,Relation-Aware Collaborative Learning for Unified Aspect-Based Sentiment Analysis,Zhuang Chen and Tieyun Qian,long
438,Representation Learning for Information Extraction from Form-like Documents,"Bodhisattwa Prasad Majumder, Navneet Potti, Sandeep Tata, James Bradley Wendt, Qi Zhao and Marc Najork",long
439,Response-Anticipated Memory for On-Demand Knowledge Integration in Response Generation,"Zhiliang Tian, Wei Bi, Dongkyu Lee, Lanqing Xue, Yiping Song, Xiaojiang Liu and Nevin L. Zhang",long
440,Rethinking Dialogue State Tracking with Reasoning,"Lizi Liao, Yunshan Ma, Wenqiang Lei and Tat-Seng Chua",long
441,Review-based Question Generation with Adaptive Instance Transfer and Augmentation,"Qian Yu, Lidong Bing, Qiong Zhang, Wai Lam and Luo Si",long
442,Revisiting the Context Window for Cross-lingual Word Embeddings,Ryokan Ri and Yoshimasa Tsuruoka,long
443,Rigid Formats Controlled Text Generation,"Piji Li, Haisong Zhang, Xiaojiang Liu and Shuming Shi",long
444,RikiNet: Reading Wikipedia Pages for Natural Question Answering,"Dayiheng Liu, Yeyun Gong, Jie Fu, Yu Yan, Jiusheng Chen, Daxin Jiang, Jiancheng Lv and Nan Duan",long
445,Robust Encodings: A Framework for Combating Adversarial Typos,"Erik Jones, Robin Jia, Aditi Raghunathan and Percy Liang",long
446,Roles and Utilization of Attention Heads in Transformer-based Neural Language Models,Jae-young Jo and Sung-Hyon Myaeng,long
447,S2ORC: The Semantic Scholar Open Research Corpus,"Kyle Lo, Lucy Wang, Mark Neumann, Rodney Kinney and Daniel Weld",long
448,SAS: Dialogue State Tracking via Slot Attention and Slot Information Sharing,"Jiaying Hu, Yan Yang, Chencai Chen, Liang He and Zhou Yu",long
449,SCDE: Sentence Cloze Dataset with High Quality Distractors From Examinations,"Xiang Kong, Varun Gangal and Eduard Hovy",long
450,schuBERT: Optimizing Elements of BERT,Ashish Khetan and Zohar Karnin,long
451,SciREX: A Challenge Dataset for Document-Level Information Extraction,"Sarthak Jain, Madeleine van Zuylen, Hannaneh Hajishirzi and Iz Beltagy",long
452,Screenplay Summarization Using Latent Narrative Structure,"Pinelopi Papalampidi, Frank Keller, Lea Frermann and Mirella Lapata",long
453,ScriptWriter: Narrative-Guided Script Generation,"Yutao Zhu, Ruihua Song, Zhicheng Dou, Jian-Yun Nie and Jin Zhou",long
454,SEEK: Segmented Embedding of Knowledge Graphs,"Wentao Xu, Shun Zheng, Liang He, Bin Shao, Jian Yin and Tie-Yan Liu",long
455,Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas and Andy Way",long
456,Selective Question Answering under Domain Shift,"Amita Kamath, Robin Jia and Percy Liang",long
457,Semantic Graphs for Generating Deep Questions,"Liangming Pan, Yuxi Xie, Yansong Feng, Tat-Seng Chua and Min-Yen Kan",long
458,Semantic Parsing for English as a Second Language,"Yuanyuan Zhao, Weiwei Sun, Junjie Cao and Xiaojun Wan",long
459,Semantic Scaffolds for Pseudocode-to-Code Generation,"Ruiqi Zhong, Mitchell Stern and Dan Klein",long
460,Semi-supervised Contextual Historical Text Normalization,Peter Makarov and Simon Clematide,long
461,Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estimation,"Xinting Huang, Jianzhong Qi, Yu Sun and Rui Zhang",long
462,Semi-Supervised Semantic Dependency Parsing Using CRF Autoencoders,"Zixia Jia, Youmi Ma, Jiong Cai and Kewei Tu",long
463,SenseBERT: Driving Some Sense into BERT,"Yoav Levine, Barak Lenz, Or Dagan, Ori Ram, Dan Padnos, Or Sharir, Shai Shalev-Shwartz, Amnon Shashua and Yoav Shoham",long
464,SentiBERT: A Transferable Transformer-Based Architecture for Compositional Sentiment Semantics,"Da Yin, Tao Meng and Kai-Wei Chang",long
465,"Sentiment and Emotion help Sarcasm? A Multi-task Learning Framework for Multi-Modal Sarcasm, Sentiment and Emotion Analysis","Dushyant Singh Chauhan, Dhanush S R, Asif Ekbal and Pushpak Bhattacharyya",long
466,SeqVAT: Virtual Adversarial Training for Semi-Supervised Sequence Labeling,"Luoxin Chen, Weitong Ruan, Xinyue Liu and Jianhua Lu",long
467,Should All Cross-Lingual Embeddings Speak English?,Antonios Anastasopoulos and Graham Neubig,long
468,Similarity Analysis of Contextual Word Representation Models,"John Wu, Yonatan Belinkov, Hassan Sajjad, Nadir Durrani, Fahim Dalvi and James Glass",long
469,"Simple, Interpretable and Stable Method for Detecting Words with Usage Change across Corpora","Hila Gonen, Ganesh Jawahar, Djamé Seddah and Yoav Goldberg",long
470,Simplify the Usage of Lexicon in Chinese NER,"Ruotian Ma, Minlong Peng, Qi Zhang, Zhongyu Wei and Xuanjing Huang",long
471,SimulSpeech: End-to-End Simultaneous Speech to Text Translation,"Yi Ren, Jinglin Liu, Xu Tan, Chen Zhang, Tao Qin, Zhou Zhao and Tie-Yan Liu",long
472,Single-/Multi-Source Cross-Lingual NER via Teacher-Student Learning on Unlabeled Data in Target Language,"Qianhui Wu, Zijia Lin, Börje Karlsson, Jian-Guang Lou and Biqing Huang",long
473,SKEP: Sentiment Knowledge Enhanced Pre-training for Sentiment Analysis,"Hao Tian, Can Gao, Xinyan Xiao, Hao Liu, Bolei He, Hua Wu, Haifeng Wang and Feng Wu",long
474,Slot-consistent NLG for Task-oriented Dialogue Systems with Iterative Rectification Network,"Yangming Li, Kaisheng Yao, Libo Qin, Wanxiang Che, Xiaolong Li and Ting Liu",long
475,SMART: Robust and Efficient Fine-Tuning for Pre-trained Natural Language Models through Principled Regularized Optimization,"Haoming Jiang, Pengcheng He, Weizhu Chen, Xiaodong Liu, Jianfeng Gao and Tuo Zhao",long
476,Social Bias Frames: Reasoning about Social and Power Implications of Language,"Maarten Sap, Saadia Gabriel, Lianhui Qin, Dan Jurafsky, Noah A. Smith and Yejin Choi",long
477,Sources of Transfer in Multilingual Named Entity Recognition,"David Mueller, Nicholas Andrews and Mark Dredze",long
478,Span Selection Pre-training for Question Answering,"Michael Glass, Alfio Gliozzo, Rishav Chakravarti, Anthony Ferritto, Lin Pan, G P Shrivatsa Bhargav, Dinesh Garg and Avi Sil",long
479,Span-based Localizing Network for Natural Language Video Localization,"Hao Zhang, Aixin Sun, Wei Jing and Joey Tianyi Zhou",long
480,SpanMlt: A Span-based Multi-Task Learning Framework for Pair-wise Aspect and Opinion Terms Extraction,"He Zhao, Longtao Huang, Rong Zhang, Quan Lu and Hui Xue",long
481,Speak to your Parser: Interactive Text-to-SQL with Natural Language Feedback,"Ahmed Elgohary, Saghar Hosseini and Ahmed Hassan Awadallah",long
482,Speaker Sensitive Response Evaluation Model,JinYeong Bak and Alice Oh,long
483,Speakers enhance contextually confusable words,"Eric Meinhardt, Eric Bakovic and Leon Bergen",long
484,SPECTER: Document-level Representation Learning using Citation-informed Transformers,"Arman Cohan, Sergey Feldman, Iz Beltagy, Doug Downey and Daniel Weld",long
485,Speech Translation and the End-to-End Promise: Taking Stock of Where We Are,Matthias Sperber and Matthias Paulik,long
486,SpellGCN: Incorporating Phonological and Visual Similarities into Language Models for Chinese Spelling Check,"Xingyi Cheng, Weidi Xu, Kunlong Chen, Shaohua Jiang, Feng Wang, Taifeng Wang, Wei Chu and Yuan Qi",long
487,Spelling Error Correction with Soft-Masked BERT,"Shaohua Zhang, Haoran Huang, Jicong Liu and Hang Li",long
488,Spying on your neighbors: Fine-grained probing of contextual embeddings for information about surrounding words,Josef Klafka and Allyson Ettinger,long
489,STARC: Structured Annotations for Reading Comprehension,"Yevgeni Berzak, Jonathan Malmaud and Roger Levy",long
490,"Stock Embeddings Acquired from News Articles and Price History, and an Application to Portfolio Optimization",Xin Du and Kumiko Tanaka-Ishii,long
491,Storytelling with Dialogue: A Critical Role Dungeons and Dragons Dataset,Revanth Rameshkumar and Peter Bailey,long
492,Structural Information Preserving for Graph-to-Text Generation,"Linfeng Song, Ante Wang, Jinsong Su, Yue Zhang, Kun Xu, Yubin Ge and Dong Yu",long
493,Structured Tuning for Semantic Role Labeling,"Tao Li, Parth Anand Jawale, Martha Palmer and Vivek Srikumar",long
494,Structure-Level Knowledge Distillation For Multilingual Sequence Labeling,"Xinyu Wang, Yong Jiang, Nguyen Bach, Tao Wang, Fei Huang and Kewei Tu",long
495,Suspense in Short Stories is Predicted By Uncertainty Reduction over Neural Story Representation,David Wilmot and Frank Keller,long
496,Synchronous Double-channel Recurrent Network for Aspect-Opinion Pair Extraction,"Shaowei Chen, Jie Liu, Yu Wang, Wenzheng Zhang and Ziming Chi",long
497,Syn-QG: Syntactic and Shallow Semantic Rules for Question Generation,Kaustubh Dhole and Christopher D. Manning,long
498,Syntax-Aware Opinion Role Labeling with Dependency Graph Convolutional Networks,"Bo Zhang, Yue Zhang, Rui Wang, Zhenghua Li and Min Zhang",long
499,TaBERT: Pretraining for Joint Understanding of Textual and Tabular Data,"Pengcheng Yin, Graham Neubig, Wen-tau Yih and Sebastian Riedel",long
500,TACRED Revisited: A Thorough Evaluation of the TACRED Relation Extraction Task,"Christoph Alt, Aleksandra Gabryszak and Leonhard Hennig",long
501,TAG : Type Auxiliary Guiding for Code Comment Generation,"Ruichu Cai, Zhihao Liang, Boyan Xu, zijian li, Yuexing Hao and Yao Chen",long
502,Tangled up in BLEU: Reevaluating the Evaluation of Automatic Machine Translation Evaluation Metrics,"Nitika Mathur, Timothy Baldwin and Trevor Cohn",long
503,TaPas: Weakly Supervised Table Parsing via Pre-training,"Jonathan Herzig, Pawel Krzysztof Nowak, Thomas Müller, Francesco Piccinno and Julian Eisenschlos",long
504,Target Inference in Argument Conclusion Generation,"Milad Alshomary, Shahbaz Syed, Martin Potthast and Henning Wachsmuth",long
505,Taxonomy Construction of Unseen Domains via Graph-based Cross-Domain Knowledge Transfer,"Chao Shang, Sarthak Dash, Md Faisal Mahbub Chowdhury, Nandana Mihindukulasooriya and Alfio Gliozzo",long
506,Tchebycheff Procedure for Multi-task Text Classification,"Yuren Mao, Shuang Yun, Weiwei Liu and Bo Du",long
507,Temporal Common Sense Acquisition with Minimal Supervision,"Ben Zhou, Qiang Ning, Daniel Khashabi and Dan Roth",long
508,Temporally-Informed Analysis of Named Entity Recognition,Shruti Rijhwani and Daniel Preotiuc-Pietro,long
509,Text and Causal Inference: A Review of Using Text to Remove Confounding from Causal Estimates,"Katherine Keith, David Jensen and Brendan O’Connor",long
510,Text-Based Ideal Points,"Keyon Vafa, Suresh Naidu and David Blei",long
511,That is a Known Lie: Detecting Previously Fact-Checked Claims,"Shaden Shaar, Nikolay Babulkov, Giovanni Da San Martino and Preslav Nakov",long
512,“The Boating Store Had Its Best Sail Ever”: Pronunciation-attentive Contextualized Pun Recognition,"Yichao Zhou, Jyun-Yu Jiang, Jieyu Zhao, Kai-Wei Chang and Wei Wang",long
513,The Cascade Transformer: an Application for Efficient Answer Sentence Selection,Luca Soldaini and Alessandro Moschitti,long
514,The Dialogue Dodecathlon: Open-Domain Knowledge and Image Grounded Conversational Agents,"Kurt Shuster, Da JU, Stephen Roller, Emily Dinan, Y-Lan Boureau and Jason Weston",long
515,The Paradigm Discovery Problem,"Alexander Erdmann, Micha Elsner, Shijie Wu, Ryan Cotterell and Nizar Habash",long
516,The Right Tool for the Job: Matching Model and Instance Complexities,"Roy Schwartz, Gabriel Stanovsky, Swabha Swayamdipta, Jesse Dodge and Noah A. Smith",long
517,The Sensitivity of Language Models and Humans to Winograd Schema Perturbations,"Mostafa Abdou, Vinit Ravishankar, Maria Barrett, Yonatan Belinkov, Desmond Elliott and Anders Søgaard",long
518,The SOFC-Exp Corpus and Neural Approaches to Information Extraction in the Materials Science Domain,"Annemarie Friedrich, Heike Adel, Federico Tomazic, Johannes Hingerl, Renou Benteau, Anika Marusczyk and Lukas Lange",long
519,The State and Fate of Linguistic Diversity and Inclusion in the NLP World,"Pratik Joshi, Sebastin Santy, Amar Budhiraja, Kalika Bali and Monojit Choudhury",long
520,The Summary Loop: Learning to Write Abstractive Summaries Without Examples,"Philippe Laban, Andrew Hsi, John Canny and Marti A. Hearst",long
521,The TechQA Dataset,"Vittorio Castelli, Rishav Chakravarti, Saswati Dana, Anthony Ferritto, Radu Florian, Martin Franz, Dinesh Garg, Dinesh Khandelwal, Scott McCarley, Michael McCawley, Mohamed Nasr, Lin Pan, Cezar Pendus, John Pitrelli, Saurabh Pujar, Salim Roukos, Andrzej Sakrajda, Avi Sil, Rosario Uceda-Sosa, Todd Ward and Rong Zhang",long
522,The Unstoppable Rise of Computational Linguistics in Deep Learning,James Henderson,long
523,To Boldly Query What No One Has Annotated Before? The Frontiers of Corpus Querying,Markus Gärtner and Kerstin Jung,long
524,"To Test Machine Comprehension, Start by Defining Comprehension","Jesse Dunietz, Greg Burnham, Akash Bharadwaj, Owen Rambow, Jennifer Chu-Carroll and Dave Ferrucci",long
525,Toward Gender-Inclusive Coreference Resolution,Yang Trista Cao and Hal Daumé III,long
526,Towards Conversational Recommendation over Multi-Type Dialogs,"Zeming Liu, Haifeng Wang, Zheng-Yu Niu, Hua Wu, Wanxiang Che and Ting Liu",long
527,Towards Debiasing Sentence Representations,"Paul Pu Liang, Irene Mengze Li, Emily Zheng, Yao Chong Lim, Ruslan Salakhutdinov and Louis-Philippe Morency",long
528,Towards Emotion-aided Multi-modal Dialogue Act Classification,"Tulika Saha, Aditya Patra, Sriparna Saha and Pushpak Bhattacharyya",long
529,Towards Faithful Neural Table-to-Text Generation with Content-Matching Constraints,"Zhenyi Wang, Xiaoyang Wang, Bang An, Dong Yu and Changyou Chen",long
530,Towards Holistic and Automatic Evaluation of Open-Domain Dialogue Generation,"Bo Pang, Erik Nijkamp, Wenjuan Han, Linqi Zhou, Yixian Liu and Kewei Tu",long
531,Towards Interpretable Clinical Diagnosis with Bayesian Network Ensembles Stacked on Entity-Aware CNNs,"Jun Chen, Xiaoya Dai, Quan Yuan, Chao Lu and Haifeng Huang",long
532,Towards Robustifying NLI Models Against Lexical Dataset Biases,Xiang Zhou and Mohit Bansal,long
533,Towards Transparent and Explainable Attention Models,"Akash Kumar Mohankumar, Preksha Nema, Sharan Narasimhan, Mitesh M. Khapra, Balaji Vasan Srinivasan and Balaraman Ravindran",long
534,Towards Understanding Gender Bias in Relation Extraction,"Andrew Gaut, Tony Sun, Shirlyn Tang, Yuxin Huang, Jing Qian, Mai ElSherief, Jieyu Zhao, Diba Mirza, Elizabeth Belding, Kai-Wei Chang and William Yang Wang",long
535,Towards Unsupervised Language Understanding and Generation by Joint Dual Learning,"Shang-Yu Su, Chao-Wei Huang and Yun-Nung Chen",long
536,Toxicity Detection: Does Context Really Matter?,"John Pavlopoulos, Jeffrey Sorensen, Lucas Dixon, Nithum Thain and Ion Androutsopoulos",long
537,Transition-based Directed Graph Construction for Emotion-Cause Pair Extraction,"Chuang Fan, Chaofa Yuan, Jiachen Du, Lin Gui, Min Yang and Ruifeng Xu",long
538,Transition-based Semantic Dependency Parsing with Pointer Networks,Daniel Fernández-González and Carlos Gómez-Rodríguez,long
539,Translationese as a Language in “Multilingual” NMT,"Parker Riley, Isaac Caswell, Markus Freitag and David Grangier",long
540,TransS-Driven Joint Learning Architecture for Implicit Discourse Relation Recognition,"Ruifang He, Jian Wang, Fengyu Guo and Yugui Han",long
541,TVQA+: Spatio-Temporal Grounding for Video Question Answering,"Jie Lei, Licheng Yu, Tamara Berg and Mohit Bansal",long
542,TXtract: Taxonomy-Aware Knowledge Extraction for Thousands of Product Categories,"Giannis Karamanolakis, Jun Ma and Xin Luna Dong",long
543,Uncertainty-Aware Curriculum Learning for Neural Machine Translation,"Yikai Zhou, Baosong Yang, Derek F. Wong, Yu Wan and Lidia S. Chao",long
544,Understanding Attention for Text Classification,Xiaobing Sun and Wei Lu,long
545,Understanding the Language of Political Agreement and Disagreement in Legislative Texts,"Maryam Davoodi, Eric Waltenburg and Dan Goldwasser",long
546,Universal Decompositional Semantic Parsing,"Elias Stengel-Eskin, Aaron Steven White, Sheng Zhang and Benjamin Van Durme",long
547,Unknown Intent Detection Using Gaussian Mixture Model with an Application to Zero-shot Intent Classification,"Guangfeng Yan, Lu Fan, Qimai Li, Han Liu, Xiaotong Zhang, Xiao-Ming Wu and Albert Y.S. Lam",long
548,Unsupervised Alignment-based Iterative Evidence Retrieval for Multi-hop Question Answering,"Vikas Yadav, Steven Bethard and Mihai Surdeanu",long
549,Unsupervised Cross-lingual Representation Learning at Scale,"Alexis Conneau, Kartikay Khandelwal, Naman Goyal, Vishrav Chaudhary, Guillaume Wenzek, Francisco Guzmán, Edouard Grave, Myle Ott, Luke Zettlemoyer and Veselin Stoyanov",long
550,Unsupervised Domain Clusters in Pretrained Language Models,Roee Aharoni and Yoav Goldberg,long
551,Unsupervised Dual Paraphrasing for Two-stage Semantic Parsing,"Ruisheng Cao, Su Zhu, Chenyu Yang, Chen Liu, Rao Ma, Yanbin Zhao, Lu Chen and Kai Yu",long
552,Unsupervised Morphological Paradigm Completion,"Huiming Jin, Liwei Cai, Yihui Peng, Chen Xia, Arya McCarthy and Katharina Kann",long
553,Unsupervised Multimodal Neural Machine Translation with Pseudo Visual Pivoting,"Po-Yao Huang, Junjie Hu, Xiaojun Chang and Alexander Hauptmann",long
554,Unsupervised Opinion Summarization as Copycat-Review Generation,"Arthur Bražinskas, Mirella Lapata and Ivan Titov",long
555,Unsupervised Opinion Summarization with Noising and Denoising,Reinald Kim Amplayo and Mirella Lapata,long
556,Unsupervised Paraphrasing by Simulated Annealing,"Xianggen Liu, Lili Mou, Fandong Meng, Hao Zhou, Jie Zhou and Sen Song",long
557,USR: An Unsupervised and Reference Free Evaluation Metric for Dialog Generation,Shikib Mehri and Maxine Eskenazi,long
558,Weight Poisoning Attacks on Pretrained Models,"Keita Kurita, Paul Michel and Graham Neubig",long
559,What are the Goals of Distributional Semantics?,Guy Emerson,long
560,What determines the order of adjectives in English? Comparing efficiency-based theories using dependency treebanks,"Richard Futrell, William Dyer and Greg Scontras",long
561,What Question Answering can Learn from Trivia Nerds,Jordan Boyd-Graber and Benjamin Börschinger,long
562,What Was Written vs. Who Read It: News Media Profiling Using Text Analysis and Social Media Context,"Ramy Baly, Georgi Karadzhov, Jisun An, Haewoon Kwak, Yoan Dinkov, Ahmed Ali, James Glass and Preslav Nakov",long
563,When do Word Embeddings Accurately Reflect Surveys on our Beliefs About People?,Kenneth Joseph and Jonathan Morgan,long
564,"“Who said it, and Why?” Provenance for Natural Language Claims","Yi Zhang, Zachary Ives and Dan Roth",long
565,WinoWhy: A Deep Diagnosis of Essential Commonsense Knowledge for Answering Winograd Schema Challenge,"Hongming Zhang, Xinran Zhao and Yangqiu Song",long
566,Word-level Textual Adversarial Attacking as Combinatorial Optimization,"Yuan Zang, Fanchao Qi, Chenghao Yang, Zhiyuan Liu, Meng Zhang, Qun Liu and Maosong Sun",long
567,XtremeDistil: Multi-stage Distillation for Massive Multilingual Models,Subhabrata Mukherjee and Ahmed Hassan Awadallah,long
568,You Impress Me: Dialogue Generation via Mutual Persona Perception,"Qian Liu, Yihong Chen, Bei Chen, Jian-Guang Lou, Zixuan Chen, Bin Zhou and Dongmei Zhang",long
569,Zero-shot Text Classification via Reinforced Self-training,"Zhiquan Ye, Yuxia Geng, Jiaoyan Chen, Jingmin Chen, Xiaoxiao Xu, Suhang Zheng, Feng Wang, Jun Zhang and Huajun Chen",long
